"Acton Town","Ealing Common"
"Acton Town","South Ealing"
"Acton Town","Turnham Green"
"Aldgate East","Liverpool Street"
"Aldgate East","Tower Hill"
"Aldgate East","Whitechapel"
"Aldgate","Liverpool Street"
"Aldgate","Tower Hill"
"All Saints","Devons Road"
"All Saints","Poplar"
"Alperton","Park Royal"
"Alperton","Sudbury Town"
"Amersham","Chalfont & Latimer"
"Angel","King's Cross St. Pancras"
"Angel","Old Street"
"Archway","Highgate"
"Archway","Tufnell Park"
"Arnos Grove","Bounds Green"
"Arnos Grove","Southgate"
"Arsenal","Finsbury Park"
"Arsenal","Holloway Road"
"Baker Street","Bond Street"
"Baker Street","Edgware Road (C)"
"Baker Street","Finchley Road"
"Baker Street","Great Portland Street"
"Baker Street","Marylebone"
"Baker Street","Regent's Park"
"Baker Street","St. John's Wood"
"Balham","Clapham South"
"Balham","Tooting Bec"
"Bank","Liverpool Street"
"Bank","London Bridge"
"Bank","Moorgate"
"Bank","Shadwell"
"Bank","St. Paul's"
"Bank","Waterloo"
"Barbican","Farringdon"
"Barbican","Moorgate"
"Barking","East Ham"
"Barking","Upney"
"Barkingside","Fairlop"
"Barkingside","Newbury Park"
"Barons Court","Earl's Court"
"Barons Court","Hammersmith"
"Barons Court","West Kensington"
"Bayswater","Notting Hill Gate"
"Bayswater","Paddington"
"Beckton Park","Cyprus"
"Beckton Park","Royal Albert"
"Beckton","Gallions Reach"
"Becontree","Dagenham Heathway"
"Becontree","Upney"
"Belsize Park","Chalk Farm"
"Belsize Park","Hampstead"
"Bermondsey","Canada Water"
"Bermondsey","London Bridge"
"Bethnal Green","Liverpool Street"
"Bethnal Green","Mile End"
"Blackfriars","Mansion House"
"Blackfriars","Temple"
"Blackhorse Road","Tottenham Hale"
"Blackhorse Road","Walthamstow Central"
"Blackwall","East India"
"Blackwall","Poplar"
"Bond Street","Green Park"
"Bond Street","Marble Arch"
"Bond Street","Oxford Circus"
"Borough","Elephant & Castle"
"Borough","London Bridge"
"Boston Manor","Northfields"
"Boston Manor","Osterley"
"Bounds Green","Wood Green"
"Bow Church","Devons Road"
"Bow Church","Pudding Mill Lane"
"Bow Road","Bromley-By-Bow"
"Bow Road","Mile End"
"Brent Cross","Golders Green"
"Brent Cross","Hendon Central"
"Brixton","Stockwell"
"Bromley-By-Bow","West Ham"
"Buckhurst Hill","Loughton"
"Buckhurst Hill","Woodford"
"Burnt Oak","Colindale"
"Burnt Oak","Edgware"
"Caledonian Road","Holloway Road"
"Caledonian Road","King's Cross St. Pancras"
"Camden Town","Chalk Farm"
"Camden Town","Euston"
"Camden Town","Kentish Town"
"Camden Town","Mornington Crescent"
"Canada Water","Canary Wharf"
"Canada Water","Rotherhithe"
"Canada Water","Surrey Quays"
"Canary Wharf","Heron Quays"
"Canary Wharf","North Greenwich"
"Canary Wharf","West India Quay"
"Canning Town","East India"
"Canning Town","North Greenwich"
"Canning Town","Royal Victoria"
"Canning Town","West Ham"
"Canning Town","West Silvertown"
"Cannon Street","Mansion House"
"Cannon Street","Monument"
"Canons Park","Queensbury"
"Canons Park","Stanmore"
"Chalfont & Latimer","Chesham"
"Chalfont & Latimer","Chorleywood"
"Chancery Lane","Holborn"
"Chancery Lane","St. Paul's"
"Charing Cross","Embankment"
"Charing Cross","Leicester Square"
"Charing Cross","Piccadilly Circus"
"Chigwell","Grange Hill"
"Chigwell","Roding Valley"
"Chiswick Park","Acton Town"
"Chiswick Park","Turnham Green"
"Chorleywood","Rickmansworth"
"Clapham Common","Clapham North"
"Clapham Common","Clapham South"
"Clapham North","Stockwell"
"Cockfosters","Oakwood"
"Colindale","Hendon Central"
"Colliers Wood","South Wimbledon"
"Colliers Wood","Tooting Broadway"
"Covent Garden","Holborn"
"Covent Garden","Leicester Square"
"Crossharbour & London Arena","Mudchute"
"Crossharbour & London Arena","South Quay"
"Croxley","Moor Park"
"Croxley","Watford"
"Custom House","Prince Regent"
"Custom House","Royal Victoria"
"Cutty Sark","Greenwich"
"Cutty Sark","Island Gardens"
"Cyprus","Gallions Reach"
"Dagenham East","Dagenham Heathway"
"Dagenham East","Elm Park"
"Debden","Loughton"
"Debden","Theydon Bois"
"Deptford Bridge","Elverson Road"
"Deptford Bridge","Greenwich"
"Dollis Hill","Neasden"
"Dollis Hill","Willesden Green"
"Ealing Broadway","Ealing Common"
"Ealing Broadway","West Acton"
